Soil_ID,Location_Latitude,Location_Longitude,Depth_cm,Texture,pH,Organic_Matter_%,Moisture_Content_%,Bulk_Density_g/cm³,Nitrogen_N_ppm,Phosphorus_P_ppm,Potassium_K_ppm,Cation_Exchange_Capacity_meq/100g,Electrical_Conductivity_dS/m,Soil_Color,Porosity_%,Water_Holding_Capacity_%
39,33.161944772188235,76.67926978176376,16.21772900073108,clayey,4.792353745538334,2.9313907266286083,23.107072580658382,1.3327088733516557,132.93783404821744,18.172610826269743,116.46032273428996,20.190232416030835,0.1165230436153911,brown,28.773661801288743,31.11887316028649
88,24.76034484393836,81.35677329044103,13.696245850315412,clayey,4.851811865599876,3.5698187089942586,19.972137422434493,1.5003025251345,99.31488169915336,17.47649013352255,217.36643206021208,24.28928215758623,3.311277057867037,black,38.60771602704663,28.75860192945639
94,11.029895562509324,96.09160330968626,14.952630609715102,clayey,8.311227421639533,8.286513205931996,13.011892217253925,1.1943705133800164,102.20984098479563,21.040248769395795,381.2004422951024,24.787893924112453,3.676617430914765,yellow,38.48105931556891,54.83634009129076
147,19.721580116381432,92.58962028795064,23.71314753954644,sandy,6.817923745987023,6.245678501463293,22.224859397954983,1.146230797348737,135.63942110693813,19.279138629928767,227.8748511664784,12.11678391003018,1.30284919924833,red,25.06538023059964,31.90694282429557
201,25.5656963077718,93.10716436956984,7.973019556717357,clayey,5.157009304492025,5.578691591220041,30.21384406645897,0.9951753723629304,99.39010436764848,21.874615429193224,339.994995689083,23.21453921964717,3.4721929649476944,black,31.66188844588886,59.340490365502895
285,14.090425379311313,82.68120589520447,8.237722690139645,sandy,7.353352589676268,4.503035067051165,5.999348113092125,1.2258030345679491,56.57887651903992,31.86221425932899,278.85126080134006,15.770218320535946,3.7945996465799743,yellow,46.86966072414975,26.45341093299251
321,8.860799647101686,92.18400278557904,6.23550942286001,sandy,5.046198307405605,6.496418482401398,25.093397241737893,1.2720519450731422,86.30243740386656,32.552203865367986,168.28560284577662,36.93954549137053,0.7060689503786325,brown,26.509246704301333,28.203393416118224
356,25.635470077136816,90.97340247469282,5.199635308501575,loamy,5.4353466751736175,8.841533614266497,13.554548647176288,1.339574721505792,41.64093267201854,47.71186424333763,337.9744910455555,33.5677995555165,4.825803362127295,brown,28.93486296632652,34.55121640976452
358,15.439604629223396,81.22168796032253,8.781355500868324,loamy,7.170649332572829,9.546726047448388,9.874832455369294,1.5443787383540686,121.06627459382425,29.740991015551334,174.84688780967042,31.732310608139876,2.398308924884518,yellow,44.63696711914184,59.41983822514872
462,26.85785438089144,92.963882494046,16.0711071606651,loamy,5.045798221363352,9.860426354699356,7.888190555429038,1.5910132456210058,61.196991191986655,40.18336735473725,250.1151107815528,15.753063394975175,4.16532707382807,black,32.696133169365424,43.62729218851015
481,23.29175486434725,78.46613177286508,24.773160129859317,clayey,6.769658482468596,9.881632248923662,8.584902264812133,1.1556208038804072,58.91104384911681,38.454873457737946,224.27424440204555,29.29345894419672,4.00996041376274,brown,29.76651400042634,28.32885528033949
653,15.631401243758248,73.3105371860027,8.186542893409708,clayey,5.161700889846815,1.85612945071113,33.10442152680626,1.0911437793672445,175.82599276500352,25.84960605941777,343.4173767037098,21.70073435463601,2.297530080273169,black,36.10048087892238,58.68585993843108
733,29.735499725316014,88.13210834399496,22.83240626237735,loamy,6.652712391490011,7.699355243242562,6.422029356486978,1.3407014462750744,22.465356370194147,25.802479242178688,318.5345350444635,13.80724462894791,3.877451372856828,red,41.24974527734117,47.36138618772728
780,25.40657391935352,70.43183533479083,29.794305581493955,sandy,6.707774792583864,4.50277459285264,29.335565493874043,1.0831352273134216,182.11592308337757,47.132289739919074,351.8277843551156,32.03487561296269,1.4281671055613423,brown,46.64867162033943,55.27767053917416
